
hbp3_15_4		1291575	1291575	1.8273	54.3960	5.0000	13	0.4000	3623.5050
hbp3_15_5		509100	509100	1.6153	19.8040	4.0000	4796	0.0000	1068.3800
hbp3_30_1		3464880	3464880	1.0803	157.9750	3.0000	0	0.0000	1841.3840
hbp3_30_2		1175760	1175760	1.0265	30.4980	3.0000	0	0.0000	229.3420
hbp3_30_3		786960	786960	0.9207	13.2630	3.0000	0	0.0000	26.3210
hbp3_30_4		965070	965070	1.0395	28.6010	3.0000	0	0.0000	43.9660
hbp3_30_5		395280	395280	0.7962	5.7030	3.0000	0	0.0000	14.6040
hbp4_15_1		2023455	2023455	2.3102	96.8460	7.0000	0	0.4286	3613.9850
hbp4_15_2		1458000	1458000	2.7123	61.3370
hbp4_15_3		790440	790440	2.5292	20.5850
hbp4_15_4		1800840	1800840	2.6068	60.5520	8.0000	0	0.5000	3610.7010
hbp4_15_5		929400	929400	2.5526	37.3850
hbp4_30_1		1005900	1005900	1.4352	29.4220	4.0000	0	0.0000	633.7180
hbp4_30_2		2171340	2171340	1.6638	108.2990	6.0000	0	0.3333	3614.1940
hbp4_30_3		4920600	4920600	1.2061	288.0210	4.0000	0	1.0000	288.0210
hbp4_30_4		3487800	3487800	1.3179	503.3470	5.0000	0	0.2000	3630.0320
hbp4_30_5		1808400	1808400	1.2745	35.5110	4.0000	0	0.0000	566.3290
hbp5_15_1	

hbp1_15_1		100440	100440	6.6000	0.8650	7.0000	0	0.0000	2.8140
hbp1_15_2		238320	238320	11.6333	2.2130	12.0000	0	0.0000	9.3350
hbp1_15_3		39660	39660	9.9425	0.3290	10.0000	0	0.0000	2.2930
hbp1_15_4		7680	7680	9.7455	0.0780	10.0000	0	0.0000	0.2440
hbp1_15_5		216000	216000	13.5692	1.9920	14.0000	0	0.0000	8.4220
hbp1_30_1		724680	724680	8.0617	7.2350	9.0000	0	0.0000	23.8950
hbp1_30_2		25200	25200	7.0762	0.2020	8.0000	0	0.0000	0.5950
hbp1_30_3		87120	87120	10.3350	0.7580	11.0000	0	0.0000	2.0720
hbp1_30_4		261900	261900	9.8442	2.4370	10.0000	885	0.0000	62.9560
hbp1_30_5		367680	367680	6.2221	3.3770	7.0000	0	0.0000	14.6810
hbp2_15_1		395700	395700	25.1108	5.4050	26.0000	1167	0.0000	113.2800
hbp2_15_2		803340	803340	25.2167	12.9050	26.0000	1252	0.0000	360.5520
hbp2_15_3		472020	472020	26.3592	5.9440	27.0000	3358	0.0000	482.3520
hbp2_15_4		257220	257220	23.7325	5.3100	25.0000	189672	0.0507	3601.8880
hbp2_15_5		163710	163710	19.5542	2.0920	20.0000	0	0.0000	13.8060
